epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.628,0.86995,4.5034,1.09541,0.00292,0.875,0.50128,0.32471,0.73768,6.56799,1.21959,2e-05,2e-05,2e-05
2,55.3313,0.73583,4.52558,1.06703,0.00333,1,0.60909,0.40924,0.51421,6.3149,1.112,5.703e-05,5.703e-05,5.703e-05
3,81.7669,0.63071,4.07723,0.94819,0.00333,1,0.80267,0.63182,0.31772,5.76732,0.98604,9.01e-05,9.01e-05,9.01e-05
4,107.834,0.46595,3.67696,0.86058,0.00333,1,0.9085,0.77132,0.2518,5.51911,0.93757,0.00011921,0.00011921,0.00011921
5,134.41,0.35895,2.76662,0.84693,0.00333,1,0.995,0.93402,0.24191,5.35815,0.91005,0.00014436,0.00014436,0.00014436
6,158.881,0.27564,2.55387,0.83715,0.00333,1,0.995,0.94301,0.24099,5.385,0.90503,0.00016555,0.00016555,0.00016555
7,183.368,0.30121,2.6826,0.80328,0.00333,1,0.86457,0.83823,0.28574,5.43715,0.91606,0.00018278,0.00018278,0.00018278
8,207.843,0.28103,2.78214,0.83895,0.00333,1,0.995,0.97208,0.23351,5.45971,0.90649,0.00019605,0.00019605,0.00019605
9,232.288,0.28499,2.33813,0.77985,0.00333,1,0.995,0.97208,0.21613,5.42822,0.89822,0.00020536,0.00020536,0.00020536
10,256.644,0.27823,2.00213,0.82397,0.00333,1,0.995,0.97208,0.20928,5.46288,0.89209,0.00021071,0.00021071,0.00021071
11,281.971,0.31299,3.74353,0.80006,0.00333,1,0.995,0.95141,0.22248,5.47083,0.89829,0.0002121,0.0002121,0.0002121
12,307.526,0.31792,3.95704,0.86618,0.00333,1,0.995,0.97208,0.2278,5.55281,0.90028,0.00020953,0.00020953,0.00020953
13,331.959,0.26312,3.90864,0.79376,0.00333,1,0.995,0.97208,0.2375,5.56492,0.89466,0.000203,0.000203,0.000203
14,356.171,0.26325,4.15696,0.74687,0.00333,1,0.995,0.96646,0.23246,5.58502,0.88977,0.00019251,0.00019251,0.00019251
15,380.064,0.2549,3.86881,0.76618,0.00333,1,0.995,0.96832,0.23091,5.66189,0.90012,0.00017806,0.00017806,0.00017806
16,404.636,0.2982,4.1025,0.81787,0.00333,1,0.995,0.96832,0.22899,5.73588,0.90439,0.00015965,0.00015965,0.00015965
17,428.975,0.27,3.74079,0.78877,0.00333,1,0.995,0.98302,0.21896,5.74482,0.89722,0.00013728,0.00013728,0.00013728
18,453.169,0.24136,3.66048,0.76474,0.89638,1,0.995,0.995,0.2072,5.81603,0.89393,0.00011095,0.00011095,0.00011095
19,477.343,0.25504,3.50002,0.77813,0.97647,1,0.995,0.995,0.19466,5.86019,0.89029,8.066e-05,8.066e-05,8.066e-05
20,501.601,0.21192,3.38646,0.76704,1,0.77089,0.995,0.995,0.19123,5.8791,0.88703,4.641e-05,4.641e-05,4.641e-05
